;text_id;text;text_to_span;эймериоз;абсцесс;диспепсия молодняка;остертагиоз;мастит;инфекционный ринотрахеит;отёк вымени;тенденит;сибирская язва;лишай;другое
0;0;Корова, видимо вставая, раздавила себе сосок. Разворотила всё в хлам, вместе с сосковым каналом. Доктор отказался что-либо делать, промыл и уехал. Если бы корова была в запуске сосок бы зарос да может и ладно бы (и трёхсисии нормально живут), но всё осложняется тем, что ей сегодня-завтра телиться и теперь из середины соска постоянно бежит молоко. Чё делать не знаю, хоть садись около неё и плачь. Может кто подскажет выход.;раздавила себе сосок', 'постоянно бежит молоко';0;0;0;0;1;0;0;0;0;0;0
1;1;Корове 8 лет! Месяц назад промеж четвертей вымени появились бугорки за пару дней они начали наполняться житкостью похожую на гной! Когда они лопаються появляется корка и долго не сходит! Я обратился к вет/врачу он мне сказал что укусы клищей, дал мазь тетрациклидную 1% ! Результат\ пока мазал прыщи непроходили и не разростались! Тоесть в одной поре! Как мазь закончелась стало ещё хуже за два дня на местах где были прыщи появились гнойные язвы! теперь незнаю что делать,как лечить и как это балачка называеться! Помогите, может у кого было такое?;промеж четвертей вымени появились бугорки’, ‘гной’, 'появляется корка', 'гнойные язвы';0;0;0;0;0;0;0;0;1;1;1
2;2;"Молоко течёт само у коровы. Что делать, если у коровы слабые соски и молоко бежит из них само.
Молоко течёт само у коровы. Помогите советом. Купили корову, было 2 отёла. Третий должен быть в феврале. Ещё доится. Утром и вечером по 2–3 литра. Иногда вижу лужицы на месте, где полежит. Когда доишь, молоко порой само бежит из соска, который не трогаешь. Понятно, что соски слабые.
Бывшая хозяйка говорила, что, когда с поля возвращается, молоко немного вытекает. Но это летом, с полным выменем, на сочных кормах. Сейчас не такой случай. В интернете везде написано — применить коллодий. Но его уже не выпускают лет 15!!! Может, знает кто другие недорогие средства. Находила импортные барьерные средства — цена 5000 рублей, это дорого. Массаж делаю.";"Молоко течёт',
  ’слабые соски',
  'молоко бежит',
  'Молоко течёт',
  'соски слабые'";0;0;0;0;1;0;1;0;0;0;0
3;3;"У нетели болячки на вымени.
Здравствуйте. Нетель на позднем сроке. Обнаружила, что все вымя покрылось маленькими болячками. Вымя массирую - стоит смирно. На фото - коричневые точки. Что это? Помогите, пожалуйста.";"болячки на вымени',
  'вымя покрылось маленькими болячками',
  'коричневые точки'";0;0;0;0;0;0;0;0;1;1;1
4;4;У меня первотелка, на днях отёл, у неё левый передний сосок как будто пустой, остальные три набухли и доли тоже, подскажите что делать, или не стоит волноваться до отела?;сосок как будто пустой;0;0;0;0;1;0;0;0;0;0;0
5;5;"Чем пропоить телёнка от поноса?
Подскажите пожалуйста, тёлочке 2 недели, отпаивается молоком коровье + козье. По 2 литра за раз, 3 раза в день. У неё слабый понос, ходит жидковато, но не часто. Чем пропоить телёнка от поноса?";поноса', 'понос', 'поноса';0;0;1;0;0;0;0;0;0;0;0
6;6;"У лейкозной коровы язвочки на сосках, что это?
Корова находится в стаде в летнем лагере с другими лейкозными коровами... Как лечить? Прижечь можно йодом 5 % и асд-3 наружное применение, а ещё...?";лейкозной', 'язвочки на сосках', 'лейкозными';0;0;0;0;0;0;0;0;1;1;1
7;7;Здравствуйте у меня проблема. Бык-1,2 года внезапно начал трястись изредка покашливает. Плохо стал есть и пить. Ел пил тоже что и остальные. Что может с ним быть? И чем лечить?;трястись', 'покашливает', 'плохо стал есть и пить';0;0;0;0;0;1;0;0;0;0;1
8;8;"Прошу совета в лечении язвочек на вымени у коровы. Появились несколько дней назад.
 Как лечить?";язвочек на вымени';0;0;0;0;0;0;0;0;1;1;1
9;9;Можно ли смешать сыворотку от паратифа с антибиотиком стрептомицином, два в одном, и проколоть телёнка?;паратифа';0;0;0;0;0;1;0;0;0;0;1
10;10;Месячный телёнок вчера вечером не до конца выпил молоко, а утром вообще отказался пить. Что может быть?;отказался пить';0;0;1;0;0;1;0;0;0;0;1
11;11;"Форумчане, заболела корова.
 Симптомы. После отела, отел был месяц назад, корова стала худеть. с неделю назад стало очень худой и вялой, сильно убавила удой, с 5 дней удой только вечером. Через 3 недели после отела, стала меньше есть сено, в последствии вообще не ела. Серку не жует.
 Внешний вид: бока впалые, внешне выражена худоба.
 Предпринимали меры лечения. Кормили соленой капустой, напоили самогоном.
 После этого корова немного стала есть корм, но удой был мал но только 1 раз вечером. Ведет себя вяло. Серку почти не жует. Появился понос, цвета обычного навоза. По наблюдению в одму минуты делает 1-2 глотка, как бы с отрыжкой или пытается сделать.(может так оно и должно быть)
 Помогите, что можно сделать.";"худеть',
  'худой',
  'вялой',
  'убавила удой',
  'меньше есть',
  'Серку не жует',
  'бока впалые',
  'худоба',
  'вяло',
  'Серку почти не жует',
  'понос',
  'отрыжкой'";1;0;0;0;0;0;0;0;0;0;1
12;12;Здравствуйте! Помогите пожалуйста! Два дня назад купила кобылу, хозяин сказал шо недавно родила жеребенка, и волк съел его. Проблема в том что теперь у нее пошел отёк по брюху, на ощупь твёрдый, не горячий, у нее вроде температуры нету. Как мне помочь животине? Или это должно пройти само?;отёк по брюху', 'твёрдый', 'не горячий';0;0;0;0;0;0;0;0;1;0;1
13;13;Телёнку один год, уже месяца два плохо ест, пьёт, сегодня увидела кал с кровью, что с ним?;плохо ест, пьёт', 'кал с кровью';1;0;0;0;0;0;0;0;0;0;1
14;14;Неделю назад купили 3 телят в колхозе,всё дружно поносили я их попоила отваром сенным,всё стабилизировалось,но 2 дня назад стали кашлять все,у одного носик забит сопельками,у другого температура...Скажите пожалуйста что им можно дать из лекарств?? Вет.врач у нас не ахти...;поносили', 'кашлять', 'сопельками', 'температура';0;0;0;0;0;1;0;0;0;0;1
15;15;"Как остановить понос у двухнедельного телёнка.
Подскажите пожалуйста, как остановить у 2-х недельного телёнка понос? Колола Диспаркол на 2–3 дня прекратился, потом опять начался.";понос', 'понос';1;0;1;1;0;0;0;0;0;0;0
16;16;У моей коровы послеродовой парез, как можно сделать продувание?;послеродовой парез';0;0;0;0;0;0;0;1;0;0;1
17;17;"День добрый,Подскажите пожалуйста
Вчера укол нитокса сделал теленку (4 месяца примерно),сегодня у него очень сильно опухла это место..подозреваю,что чуть ниже попал..что делать с отёком?(";опухла', 'отёком';0;1;0;0;0;0;0;0;0;0;0
18;18;Корова поносит и худеет апитит вроде средний жвачка есть в чем может быть дело;поносит', 'худеет';1;0;1;1;0;0;0;0;0;0;0
19;19;"Корова не может наступить на заднюю ногу, как её лечить?
Есть тут знающие люди, что может быть с коровой, сначала хромала на заднюю ногу, а сейчас вообще не наступает, хвост приподнят дугой. Копыто проверяла — чистое, похудела, может заболевание какое-то.";"не может наступить на заднюю ногу’, 'хромала на заднюю ногу',
  'не наступает',
  'хвост приподнят дугой',
  ‘похудела'";0;0;0;0;0;0;0;1;0;0;1
20;20;Здравствуйте, кто знает, что за болезнь, когда у коров в дойках шишки? Подскажите как можно вылечить. Заранее всем спасибо!;в дойках шишки';0;1;0;0;0;0;0;0;0;0;1
21;21;"Послеродовый отёк вымени
Как способствовать устранению небольшого отёка вымени после отёла?";отёк вымени, отёка вымени;0;0;0;0;0;0;1;0;0;0;0
